Site_name,ID (temp),Pot_name,Typology,,,Start_date,End_date,Page,Reference_File_Name,Original_text
Voerendaal-Ten Hove,12,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/95-1-18+95-1-60, Drag. 37"
Voerendaal-Ten Hove,13,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/27-2-24, Drag. 37"
Voerendaal-Ten Hove,14,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/68-2-6/6276, Drag. 37"
Voerendaal-Ten Hove,15,Terra sigillata decorated beaker,Dragendorff 30,,,20,200,4,New_Rep_2_Test_Workflow,"--/96-2-1/8224, Drag. 30"
Voerendaal-Ten Hove,16,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/1953-2.5/11413, Drag. 37"
Voerendaal-Ten Hove,17,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"413-2/94-4-3/10549, Drag. 37"
Voerendaal-Ten Hove,18,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"744-10/100-2-3/8440, Drag. 37"
Voerendaal-Ten Hove,19,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/16-2-34/2381, Drag. 37"
Voerendaal-Ten Hove,20,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"--/1895-12.42/14465, Drag. 37"
Voerendaal-Ten Hove,21,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,4,New_Rep_2_Test_Workflow,"744-9/100-1-10, Drag. 37"
Voerendaal-Ten Hove,22,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,5,New_Rep_2_Test_Workflow,"--/0-0-0/10406, Drag. 37"
Voerendaal-Ten Hove,23,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,5,New_Rep_2_Test_Workflow,"--/15-0-0/2098, Drag. 37"
Voerendaal-Ten Hove,24,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,5,New_Rep_2_Test_Workflow,"334-2/107-3-62 + 737-11/68-4-25, Drag. 37"
Voerendaal-Ten Hove,25,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"757-17/104-3-5, Drag. 37"
Voerendaal-Ten Hove,26,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"--/16-0-0/2706 + 16-3-5/2395, Drag. 37 "
Voerendaal-Ten Hove,27,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"--/18-1-2/2773, Drag. 37"
Voerendaal-Ten Hove,28,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"413-6/94-4-1/10531, Drag. 37"
Voerendaal-Ten Hove,29,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,--/1895-12.46/13074
Voerendaal-Ten Hove,30,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"319-8/110-2-1, Drag. 37"
Voerendaal-Ten Hove,31,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,6,New_Rep_2_Test_Workflow,"--/1895-12.45/13069, Drag. 37"
Voerendaal-Ten Hove,32,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,7,New_Rep_2_Test_Workflow,"--/16-3-7/2427+2428, Drag. 37"
Voerendaal-Ten Hove,33,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,7,New_Rep_2_Test_Workflow,"--/27-3-17/5260, Drag. 37"
Voerendaal-Ten Hove,34,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,7,New_Rep_2_Test_Workflow,"--/94-3-5/10503, Drag 37"
Voerendaal-Ten Hove,35,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,7,New_Rep_2_Test_Workflow,"--/1895-12.44/13070, Drag 37"
Voerendaal-Ten Hove,36,Terra sigillata,Dragendorff 27g,,,60,90,7,New_Rep_2_Test_Workflow,"702-19/7-0-11, Drag. 27g "
Voerendaal-Ten Hove,37,Terra sigillata dish,,,,65,85,7,New_Rep_2_Test_Workflow,"--/96-2-1/8220, dish"
Voerendaal-Ten Hove,38,Terra sigillata plate,Dragendorff 18,,,40,120,7,New_Rep_2_Test_Workflow,"--/1953-2.5/13052, Drag. 18"
Voerendaal-Ten Hove,39,Terra sigillata cup,,,,85,100,7,New_Rep_2_Test_Workflow,"--/1932-11.3/13041, cup"
Voerendaal-Ten Hove,40,Terra sigillata cup,Dragendorff 27,,,15,200,7,New_Rep_2_Test_Workflow,"--/21-3-5/3776, Drag. 27"
Voerendaal-Ten Hove,41,Terra sigillata plate,Dragendorff 18r,,,70,180,7,New_Rep_2_Test_Workflow,"--/1932-11.3/13043, Drag. 18R? "
Voerendaal-Ten Hove,42,Terra sigillata,Dragendorff 27g,,,60,90,8,New_Rep_2_Test_Workflow,"--/7-1-25/197, Drag. 27g "
Voerendaal-Ten Hove,43,Terra sigillata plate,Dragendorff 18/31,,,70,200,8,New_Rep_2_Test_Workflow,"--/96-2-1/11698, Drag. 18/31"
Voerendaal-Ten Hove,44,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"730-2/27-5-1, Drag. 18/31"
Voerendaal-Ten Hove,45,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"--/95-1-19/10815, dish (probably Drag. 18/31)"
Voerendaal-Ten Hove,46,Terra sigillata cup,Dragendorff 27,,,15,200,9,New_Rep_2_Test_Workflow,"--/95-2-9/10948, cup, probably Drag. 27"
Voerendaal-Ten Hove,47,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"319-13/110-2-1, Drag. 18/31 or Drag. 31 "
Voerendaal-Ten Hove,48,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"--/0-0-0/10402, Drag. 18/31 or Drag. 31"
Voerendaal-Ten Hove,49,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"--/1932-11.3/13042, Drag. 18/31 or Drag. 31"
Voerendaal-Ten Hove,50,Terra sigillata plate,Dragendorff 31,,,100,260,9,New_Rep_2_Test_Workflow,"317-16/13-3-38, Drag. 31"
Voerendaal-Ten Hove,51,Terra sigillata plate,Dragendorff 18/31,,,70,200,9,New_Rep_2_Test_Workflow,"812-2/27-3-7/5184, Drag. 18/31"
Voerendaal-Ten Hove,54,Terra sigillata plate,Dragendorff 18/31,,,70,200,10,New_Rep_2_Test_Workflow,"69-2-8/7253, Drag. 18/31 "
Voerendaal-Ten Hove,55,Terra sigillata plate,Dragendorff 18,,,40,120,10,New_Rep_2_Test_Workflow,"27-2-27/5067, Drag. 18"
Voerendaal-Ten Hove,56,Terra sigillata plate,Dragendorff 31,,,100,260,10,New_Rep_2_Test_Workflow,"742-3/95-5-8/11211, Drag. 31 "
Voerendaal-Ten Hove,57,Terra sigillata plate,Dragendorff 32,,,150,300,10,New_Rep_2_Test_Workflow,"1932-11.3/13064, Drag. 32 "
