"Pot_Name","Typology","Start_date","End_date"
"gladwandig kruik","Stuart 110A","70","250"
"gladwandig kruik","Stuart 110B","70","250"
"gladwandig kruik","Stuart 111","100","300"
"gladwandig klein kruik","Stuart 129","70","250"
"gladwandig kruik","Stuart 130","100","260"
"gladwandig kruik","Stuart 131","120","300"
"standamfoor","Stuart 132","100","300"
"gladwandig voetkom","Stuart 145","150","300"
"gladwandig honingpot","Stuart 146","100","300"
"mortarium","Stuart 148","70","200"
"mortarium","Stuart 149","40","260"
"gladwandig beker","Stuart 151","100","260"
"ruwwandig aardewerk kookpot","Stuart 201","40","200"
"ruwwandig aardewerk kookpot","Stuart 202","40","200"
"ruwwandig aardewerk beker","Stuart 204B","70","200"
"ruwwandig aardewerk kom","Stuart 210","70","260"
"ruwwandig aardewerk pot met oor","Stuart 213","100","300"
"ruwwandig aardewerk kruik","Stuart 214B","150","300"
"ruwwandig aardewerk bord","Stuart 215","70","200"
"ruwwandig aardewerk bord","Stuart 216","100","260"
"ruwwandig aardewerk bord","Stuart 217","100","260"
"ruwwandig aardewerk bord","Stuart 218","150","300"
"ruwwandig aardewerk deksel","Stuart 219","70","200"
"Terra rubra tazza","Holwerda 1","-50","20"
"Terra rubra beker","Holwerda 2","-40","20"
"Terra rubra beker","Holwerda 3","-30","50"
"Terra rubra beker","Holwerda 4","-30","20"
"Terra rubra beker","Holwerda 5","-25","30"
"Terra rubra beker","Holwerda 6","-25","30"
"Terra rubra beker","Holwerda 7","-30","40"
"Terra rubra beker","Holwerda 8","-20","50"
"Terra rubra beker","Holwerda 9","-25","60"
"Terra rubra beker","Holwerda 10","-20","60"
"Terra rubra op voet beker","Holwerda 11","-40","20"
"Terra rubra beker","Holwerda 12","-20","60"
"Terra nigra flesvormige pot","Holwerda 25","-30","70"
"Terra nigra spitsbuikige pot","Holwerda 26","-30","60"
"Terra nigra rondovale pot","Holwerda 27","-25","70"
"Terra nigra pot","Holwerda 28","-20","70"
"Terra nigra pot","Holwerda 29","-20","80"
"Terra nigra pot","Holwerda 30","-20","80"
"Terra nigra voorraadpot","Holwerda 31","-20","80"
"Terra nigra kom","Holwerda 40","-30","70"
"Terra nigra kom","Holwerda 41","-25","70"
"Terra nigra kom","Holwerda 42","-20","70"
"Terra nigra bord","Holwerda 50","-40","70"
"Terra nigra kom","Holwerda 55","-30","100"
"Terra nigra beker","Holwerda 56","-25","80"
"Terra nigra beker","Holwerda 58","-20","80"
"Terra rubra bord","Holwerda 75","-40","50"
"Terra rubra bord","Holwerda 76","-40","70"
"Terra rubra bord","Holwerda 77","-30","70"
"Terra rubra bord","Holwerda 78","-30","70"
"Terra rubra bord","Holwerda 79","-20","70"
"Terra rubra bord","Holwerda 80","-20","70"
"Terra nigra bord","Holwerda 81","-30","70"
"Terra rubra kom","Holwerda 84","-20","70"
"Nijmegen ruwwandig aardewerk pot","Holwerda 62","40","120"
"handgevormd cork urn","Holwerda 94","-100","80"
"geverfd beker","Niederbieber 30","130","300"
"geverfd beker","Niederbieber 31","140","300"
"geverfd beker","Niederbieber 32","150","300"
"geverfd beker","Niederbieber 33","150","300"
"gladwandig kruik","Niederbieber 62","100","300"
"gladwandig kruik","Niederbieber 63","150","300"
"gladwandig fles","Niederbieber 64","150","300"
"gladwandig fles","Niederbieber 76","150","300"
"gladwandig voetkom","Niederbieber 82","150","300"
"ruwwandig aardewerk kookpot","Niederbieber 87","150","280"
"ruwwandig aardewerk kookpot","Niederbieber 88","150","280"
"ruwwandig aardewerk kookpot","Niederbieber 89","150","300"
"ruwwandig aardewerk kookpot","Niederbieber 90","150","280"
"ruwwandig aardewerk kruik","Niederbieber 96","150","300"
"ruwwandig aardewerk kruik","Niederbieber 97","150","300"
"ruwwandig aardewerk kruik","Niederbieber 98","150","280"
"ruwwandig aardewerk kom","Niederbieber 103","150","300"
"ruwwandig aardewerk kom","Niederbieber 104","100","300"
"ruwwandig aardewerk kom","Niederbieber 105","150","300"
"ruwwandig aardewerk kom","Niederbieber 106","150","300"
"ruwwandig aardewerk kom","Niederbieber 107","150","300"
"ruwwandig aardewerk bord","Niederbieber 110","150","300"
"ruwwandig aardewerk bord","Niederbieber 111","150","300"
"ruwwandig aardewerk bord","Niederbieber 112","150","280"
"ruwwandig aardewerk bord","Niederbieber 113","150","300"
"ruwwandig aardewerk bord","Niederbieber 114","150","280"
"ruwwandig aardewerk deksel","Niederbieber 119","150","280"
"ruwwandig aardewerk deksel","Niederbieber 120","150","280"
"ruwwandig aardewerk klokvormig deksel","Niederbieber 120b","150","300"
"dunwandig beker","Gose 2","-30","30"
"dunwandig beker","Gose 8","-20","50"
"dunwandig beker","Gose 12","-20","60"
"dunwandig beker","Gose 33","-10","70"
"dunwandig gefacetteerd beker","Gose 84","-20","70"
"geverfd beker","Gose 124","100","250"
"geverfd beker","Gose 143","130","300"
"geverfd beker","Gose 171","150","300"
"geverfd beker","Gose 197","150","350"
"geverfd kom","Gose 232","100","280"
"geverfd bord","Gose 244","100","280"
"witbakkende éénhandige kruik","Gose 384","40","200"
"witbakkende tweehandige kruik","Gose 396","70","250"
"witbakkende kruik","Gose 403","100","260"
"witbakkende fles","Gose 411","70","200"
"mortarium","Gose 409","70","260"
"mortarium","Gose 418","100","300"
"mortarium","Gose 426","150","350"
"amfoor","Gose 435","-10","100"
"amfoor","Gose 443","50","200"
"amfoor","Gose 449","100","280"
"ruwwandig aardewerk kookpot","Gose 450","100","300"
"ruwwandig aardewerk kookpot","Gose 462","150","300"
"ruwwandig aardewerk kookpot","Gose 476","150","350"
"ruwwandig aardewerk voorraadpot","Gose 489","100","300"
"ruwwandig aardewerk pot","Gose 496","150","300"
"ruwwandig aardewerk kom","Gose 502","100","300"
"ruwwandig aardewerk kom","Gose 514","150","300"
"ruwwandig aardewerk bord","Gose 521","150","300"
"ruwwandig aardewerk bord","Gose 531","150","300"
"ruwwandig aardewerk deksel","Gose 542","100","300"
"ruwwandig aardewerk deksel","Gose 550","150","300"
"dolium","Gose 561","-30","300"
"dolium","Gose 572","-30","300"
"laat-Romeins geverfd beker","Alzey 1","260","400"
"laat-Romeins geverfd beker","Alzey 2","260","400"
"laat-Romeins geverfd beker","Alzey 3","260","420"
"laat-Romeins geverfd beker","Alzey 4","270","420"
"laat-Romeins geverfd beker","Alzey 5","270","420"
"laat-Romeins kom","Alzey 6","260","420"
"laat-Romeins kom","Alzey 7","260","420"
"laat-Romeins kom","Alzey 8","270","420"
"laat-Romeins kom","Alzey 20","300","450"
"laat-Romeins kom","Alzey 21","300","450"
"laat-Romeins kom","Alzey 22","300","450"
"laat-Romeins kom","Alzey 32","350","450"
"laat-Romeins kookpot","Alzey 9","270","420"
"laat-Romeins kookpot","Alzey 10","270","420"
"laat-Romeins kookpot","Alzey 11","300","450"
"laat-Romeins kookpot","Alzey 12","300","450"
"laat-Romeins kookpot","Alzey 13","300","450"
"laat-Romeins kookpot","Alzey 26","300","450"
"laat-Romeins kookpot","Alzey 27","300","450"
"laat-Romeins kookpot","Alzey 28","300","450"
"laat-Romeins voorraadpot","Alzey 14","270","420"
"laat-Romeins voorraadpot","Alzey 15","300","450"
"laat-Romeins pot","Alzey 16","300","450"
"laat-Romeins voorraadvat","Alzey 29","300","450"
"laat-Romeins voorraadpot","Alzey 30","300","450"
"laat-Romeins kruik","Alzey 17","270","420"
"laat-Romeins kruik","Alzey 18","300","450"
"laat-Romeins bord","Alzey 23","300","420"
"laat-Romeins bord","Alzey 24","300","420"
"laat-Romeins bord","Alzey 25","350","450"
"laat-Romeins schotel","Alzey 33","350","450"
"laat-Romeins deksel","Alzey 34","300","420"
"laat-Romeins deksel","Alzey 35","300","450"
"Italische wijnamfoor","Dressel 1A","-140","-10"
"Italische wijnamfoor","Dressel 1B","-130","-10"
"Italische wijnamfoor","Dressel 1C","-100","-10"
"Italische/Spaanse wijnamfoor","Dressel 2-4","-30","250"
"Oost-Mediterraans wijnamfoor","Dressel 5","-30","100"
"Adriatische wijnamfoor","Dressel 6A","-30","70"
"Istrische olijfolieamfoor","Dressel 6B","-30","100"
"Spaanse vissausamfoor","Dressel 7","-30","60"
"Spaanse vissausamfoor","Dressel 8","-30","60"
"Spaanse vissausamfoor","Dressel 9","-30","70"
"Spaanse vissausamfoor","Dressel 10","-30","70"
"Spaanse vissausamfoor","Dressel 11","-10","80"
"Spaanse vissausamfoor","Dressel 12","-20","80"
"Spaanse vissausamfoor","Dressel 13","-20","80"
"Lusitaanse vissausamfoor","Dressel 14","-10","100"
"Spaanse vissausamfoor","Dressel 15","-20","80"
"Griekse wijnamfoor","Dressel 16","-100","50"
"Pannonische amfoor","Dressel 17","50","200"
"Spaanse olijfolieamfoor","Dressel 18","-30","100"
"Spaanse vissausamfoor","Dressel 19","-10","80"
"Baeticaanse olijfolieamfoor","Dressel 20","-10","260"
"Siciliaanse fish amfoor","Dressel 21-22","-30","100"
"laat-Romeins Spaanse olijfolieamfoor","Dressel 23","200","420"
"Pontische amfoor","Dressel 24","100","300"
"Gallische wijnamfoor","Dressel 25","100","300"
"Spaanse amfoor","Dressel 26","-30","100"
"Spaanse olijfolieamfoor","Dressel 28","-10","100"
"Spaanse vissausamfoor","Dressel 29","-10","80"
"laat-Romeins Oosterse wijnamfoor","Dressel 30","200","450"
"Afrikaanse amfoor","Dressel 38","100","400"
"Tarraconensisch wijnamfoor","Dressel 40","-10","100"
"Afrikaanse olijfolieamfoor","Dressel 43","200","450"
"Afrikaanse olijfolieamfoor","Dressel 45","200","500"
"Argonnische terra sigillata bord","Chenet 304","270","420"
"Argonnische terra sigillata bord","Chenet 305","270","420"
"Argonnische terra sigillata bord","Chenet 306","300","420"
"Argonnische terra sigillata bord","Chenet 307","300","400"
"Argonnische terra sigillata bord","Chenet 308","300","420"
"Argonnische terra sigillata bord","Chenet 309","300","420"
"Argonnische terra sigillata bord","Chenet 310","300","420"
"Argonnische terra sigillata bord","Chenet 311","300","420"
"Argonnische terra sigillata bord","Chenet 312","300","420"
"Argonnische terra sigillata bord","Chenet 313","300","420"
"Argonnische terra sigillata beker","Chenet 314","300","420"
"Argonnische terra sigillata beker","Chenet 315","300","420"
"Argonnische terra sigillata beker","Chenet 316","300","420"
"Argonnische terra sigillata beker","Chenet 317","300","420"
"Argonnische terra sigillata beker","Chenet 318","300","420"
"Argonnische terra sigillata kom","Chenet 319","300","420"
"Argonnische terra sigillata kom","Chenet 320","300","420"
"Argonnische terra sigillata kom","Chenet 321","300","420"
"Argonnische terra sigillata kom","Chenet 322","300","420"
"Argonnische terra sigillata kom","Chenet 323","300","420"
"Argonnische terra sigillata versierd kom","Chenet 324","320","430"
"Argonnische terra sigillata versierd kom","Chenet 325","320","430"
"Argonnische terra sigillata versierd kom","Chenet 326","320","430"
"Argonnische terra sigillata versierd kom","Chenet 327","320","430"
"Argonnische terra sigillata versierd kom","Chenet 328","320","430"
"Argonnische terra sigillata versierd kom","Chenet 329","320","430"
"Argonnische terra sigillata versierd kom","Chenet 330","320","430"
"Argonnische terra sigillata versierd kom","Chenet 331","320","430"
"Argonnische terra sigillata versierd kom","Chenet 332","320","430"
"Argonnische terra sigillata kom","Chenet 333","300","420"
"Argonnische terra sigillata beker","Chenet 334","300","420"
"Argonnische terra sigillata beker","Chenet 335","300","420"
"Argonnische terra sigillata beker","Chenet 336","300","420"
"Argonnische terra sigillata fles","Chenet 337","300","420"
"Argonnische terra sigillata fles","Chenet 338","300","420"
"Argonnische terra sigillata fles","Chenet 339","300","420"
"Argonnische terra sigillata kruik","Chenet 340","300","420"
"Argonnische terra sigillata beker","Chenet 341","300","420"
"Argonnische terra sigillata beker","Chenet 342","300","420"
"dunwandig beker","Brunsting 1","-20","40"
"ruwwandig aardewerk kookpot","Brunsting 2","40","200"
"dunwandig beker","Brunsting 3","-10","70"
"geverfd beker","Brunsting 4","150","300"
"ruwwandig aardewerk kom","Brunsting 5","70","260"
"ruwwandig aardewerk kom","Brunsting 8","150","300"
"ruwwandig aardewerk kom","Brunsting 9","100","300"
"ruwwandig aardewerk kom","Brunsting 10","100","260"
"ruwwandig aardewerk kom","Brunsting 11","100","260"
"ruwwandig aardewerk kom","Brunsting 12","100","260"
"gladwandig kruik","Brunsting 5a","70","250"
"gladwandig kruik","Brunsting 5b","70","250"
"gladwandig kruik","Brunsting 6","100","300"
"gladwandig beker","Brunsting 7","100","260"
"gladwandig kruik","Brunsting 21","100","260"
"gladwandig kruik","Brunsting 22","100","260"
"gladwandig kruik","Brunsting 23","120","300"
"gladwandig kruik","Brunsting 24","100","260"
"gladwandig kruik","Brunsting 25","150","300"
"gladwandig kruik","Brunsting 26","150","300"
"gladwandig voetkom","Brunsting 27","150","300"
"mortarium","Brunsting 36","40","260"
"mortarium","Brunsting 37","70","200"
"mortarium","Brunsting 38","100","260"
"mortarium","Brunsting 39","150","300"
"dunwandig beker","Haalebos 3.1","40","100"
"dunwandig beker","Haalebos 3.2","40","120"
"geverfd beker","Haalebos 5.1","70","200"
"geverfd beker","Haalebos 5.2","100","250"
"gladwandig kruik","Haalebos 6.1","40","150"
"gladwandig kruik","Haalebos 6.2","70","200"
"gladwandig kruik","Haalebos 6.3","100","250"
"ruwwandig aardewerk kookpot","Haalebos 7.1","40","150"
"ruwwandig aardewerk kookpot","Haalebos 7.2","70","200"
"ruwwandig aardewerk kookpot","Haalebos 7.3","100","250"
"ruwwandig aardewerk kom","Haalebos 8.1","40","150"
"ruwwandig aardewerk kom","Haalebos 8.2","70","200"
"ruwwandig aardewerk kom","Haalebos 8.3","100","250"
"ruwwandig aardewerk bord","Haalebos 9.1","70","200"
"ruwwandig aardewerk bord","Haalebos 9.2","100","250"
"ruwwandig aardewerk deksel","Haalebos 10.1","70","200"
"ruwwandig aardewerk deksel","Haalebos 10.2","100","250"
"Belgisch aardewerk bord","Deru A1","-60","10"
"Belgisch aardewerk bord","Deru A2","-50","20"
"Belgisch aardewerk bord","Deru A3","-40","30"
"Belgisch aardewerk bord","Deru A4","-30","50"
"Belgisch aardewerk bord","Deru A5","-20","70"
"Belgisch aardewerk bord","Deru A6","-10","80"
"Belgisch aardewerk kom","Deru B1","-60","10"
"Belgisch aardewerk kom","Deru B2","-50","20"
"Belgisch aardewerk kom","Deru B3","-40","40"
"Belgisch aardewerk kom","Deru B4","-20","70"
"Belgisch aardewerk kom","Deru B5","-10","80"
"Belgisch aardewerk beker","Deru G1","-60","10"
"Belgisch aardewerk beker","Deru G2","-50","20"
"Belgisch aardewerk beker","Deru G3","-40","40"
"Belgisch aardewerk beker","Deru G4","-20","70"
"Belgisch aardewerk beker","Deru G5","-10","80"
"Belgisch aardewerk pot","Deru P1","-60","10"
"Belgisch aardewerk pot","Deru P2","-50","20"
"Belgisch aardewerk pot","Deru P3","-40","40"
"Belgisch aardewerk pot","Deru P4","-30","50"
"Belgisch aardewerk pot","Deru P5","-20","70"
"Belgisch aardewerk pot","Deru P6","-10","80"
"Belgisch aardewerk beker","Deru T1","-60","10"
"Belgisch aardewerk beker","Deru T2","-40","30"
"Belgisch aardewerk beker","Deru T3","-20","60"
"Belgisch aardewerk kruik","Deru C1","-40","40"
"Belgisch aardewerk kruik","Deru C2","-20","70"
"vroeg-Romeins beker","Hofheim 1","15","80"
"vroeg-Romeins beker","Hofheim 2","-10","70"
"vroeg-Romeins kom","Hofheim 3","-10","70"
"vroeg-Romeins éénhandige kruik","Hofheim 4","40","80"
"vroeg-Romeins éénhandige kruik","Hofheim 5","-10","130"
"vroeg-Romeins tweehandige kruik","Hofheim 6","40","80"
"vroeg-Romeins kom","Hofheim 7","40","80"
"vroeg-Romeins beker","Hofheim 8","40","80"
"vroeg-Romeins kom","Hofheim 9","40","80"
"vroeg-Romeins kruik","Hofheim 10","40","80"
"vroeg-Romeins beker","Hofheim 11","40","80"
"vroeg-Romeins beker","Hofheim 12","40","80"
"vroeg-Romeins beker","Hofheim 22","40","100"
"vroeg-Romeins ringhals kruik","Hofheim 50","40","100"
"vroeg-Romeins ringhals kruik","Hofheim 51","40","100"
"Terra sigillata kom","Curle 11","80","200"
"Terra sigillata bord","Curle 15","100","260"
"Terra sigillata mortarium","Curle 21","150","260"
"Terra sigillata bord","Curle 23","80","200"
"Oost-Gallische terra sigillata bord","Ludowici SA","100","260"
"Oost-Gallische terra sigillata bord","Ludowici SB","120","260"
"Oost-Gallische terra sigillata bord","Ludowici SMa","120","260"
"Oost-Gallische terra sigillata bord","Ludowici SMb","120","260"
"Oost-Gallische terra sigillata beker","Ludowici Tc","100","200"
"Oost-Gallische terra sigillata beker","Ludowici TK","100","250"
"Oost-Gallische terra sigillata beker","Ludowici Tf","150","280"
"Tongerse Belgisch aardewerk bord","Vanvinckenroye 1","-25","30"
"Tongerse Belgisch aardewerk beker","Vanvinckenroye 2","-25","30"
"Tongerse fijnwandig aardewerk beker","Vanvinckenroye 8","-10","70"
"Tongerse fijnwandig aardewerk beker","Vanvinckenroye 12","-10","70"
"Tongerse ruwwandig aardewerk pot","Vanvinckenroye 45","40","150"
"Tongerse ruwwandig aardewerk pot","Vanvinckenroye 47","40","150"
"Tongerse ruwwandig aardewerk kookpot","Vanvinckenroye 48","70","200"
"Tongerse ruwwandig aardewerk kom","Vanvinckenroye 55","40","150"
"Tongerse ruwwandig aardewerk kom","Vanvinckenroye 57","70","200"
"Tongerse gladwandige kruik","Vanvinckenroye 85","70","200"
"Tongerse gladwandige kruik","Vanvinckenroye 105","70","200"
"Tongerse gladwandige kruik","Vanvinckenroye 140","70","200"
"Tongerse gladwandige kruik","Vanvinckenroye 155","100","250"
"Tongerse ruwwandig aardewerk kookpot","Vanvinckenroye 195","100","250"
"Tongerse ruwwandig aardewerk kookpot","Vanvinckenroye 200","100","250"
"Tongerse ruwwandig aardewerk kom","Vanvinckenroye 250","150","300"
"Tongerse ruwwandig aardewerk bord","Vanvinckenroye 280","150","300"
"Tongerse laat-Romeins beker","Vanvinckenroye 391","200","350"
"Tongerse laat-Romeins pot","Vanvinckenroye 479","250","400"
"Tongerse laat-Romeins kookpot","Vanvinckenroye 520","250","400"
"Tongerse laat-Romeins voorraadpot","Vanvinckenroye 550","300","450"
"Mayen aardewerk kookpot","Mayen 1","250","500"
"Mayen aardewerk kookpot","Mayen 2","250","500"
"Mayen aardewerk voorraadpot","Mayen 3","250","500"
"Mayen aardewerk voorraadpot","Mayen 4","300","500"
"Mayen aardewerk kom","Mayen 5","250","500"
"Mayen aardewerk kom","Mayen 6","300","500"
"Mayen aardewerk bord","Mayen 7","300","500"
"Mayen aardewerk beker","Mayen 8","300","500"
"Mayen aardewerk deksel","Mayen 9","250","500"
"Mayen aardewerk kruik","Mayen 10","300","500"
"laat-Romeins geverfd beker","Van Ossel 1","270","400"
"laat-Romeins geverfd beker","Van Ossel 2","270","400"
"laat-Romeins geverfd beker","Van Ossel 3","300","420"
"laat-Romeins geverfd beker","Van Ossel 4","300","420"
"laat-Romeins geverfd beker","Van Ossel 5","270","380"
"laat-Romeins geverfd beker","Van Ossel 6","300","420"
"laat-Romeins geverfd kom","Van Ossel 7","300","420"
"laat-Romeins geverfd bord","Van Ossel 8","300","420"
"laat-Romeins geverfd kruik","Van Ossel 9","270","400"
"Argonnische terra sigillata kom","Van Ossel 10","300","430"
"Argonnische terra sigillata bord","Van Ossel 11","300","430"
"Argonnische terra sigillata beker","Van Ossel 12","300","430"
"laat-Romeins ruwwandig aardewerk kookpot","Van Ossel 13","270","450"
"laat-Romeins ruwwandig aardewerk kookpot","Van Ossel 14","300","450"
"laat-Romeins ruwwandig aardewerk kookpot","Van Ossel 15","300","500"
"laat-Romeins ruwwandig aardewerk kookpot","Van Ossel 16","350","500"
"laat-Romeins ruwwandig aardewerk kom","Van Ossel 17","270","420"
"laat-Romeins ruwwandig aardewerk kom","Van Ossel 18","300","450"
"laat-Romeins ruwwandig aardewerk kom","Van Ossel 19","300","450"
"laat-Romeins ruwwandig aardewerk kom","Van Ossel 20","350","500"
"laat-Romeins ruwwandig aardewerk bord","Van Ossel 21","270","420"
"laat-Romeins ruwwandig aardewerk bord","Van Ossel 22","300","450"
"laat-Romeins ruwwandig aardewerk bord","Van Ossel 23","350","500"
"laat-Romeins voorraadpot","Van Ossel 24","270","420"
"laat-Romeins voorraadpot","Van Ossel 25","300","450"
"laat-Romeins voorraadpot","Van Ossel 26","300","500"
"laat-Romeins dolium","Van Ossel 27","270","450"
"laat-Romeins ruwwandig aardewerk kruik","Van Ossel 28","270","420"
"laat-Romeins ruwwandig aardewerk kruik","Van Ossel 29","300","450"
"laat-Romeins mortarium","Van Ossel 30","270","420"
"laat-Romeins mortarium","Van Ossel 31","300","450"
"laat-Romeins ruwwandig aardewerk deksel","Van Ossel 32","270","420"
"laat-Romeins ruwwandig aardewerk deksel","Van Ossel 33","300","500"
"handgevormd laat-Romeins kookpot","Van Ossel 34","270","500"
"handgevormd laat-Romeins voorraadpot","Van Ossel 35","270","500"
"handgevormd laat-Romeins kom","Van Ossel 36","270","500"
"handgevormd laat-Romeins bord","Van Ossel 37","300","500"
"laat-Romeins Afrikaanse amfoor","Van Ossel 38","300","500"
"laat-Romeins Oost-Mediterraans amfoor","Van Ossel 39","300","500"
"laat-Romeins Gallische amfoor","Van Ossel 40","270","450"
"vroeg-Romeins beker","Gose/Hofheim 1","15","80"
"vroeg-Romeins beker","Gose/Hofheim 2","-10","70"
"vroeg-Romeins kom","Gose/Hofheim 3","-10","70"
"vroeg-Romeins éénhandige kruik","Gose/Hofheim 4","40","80"
"vroeg-Romeins éénhandige kruik","Gose/Hofheim 5","-10","130"
"vroeg-Romeins tweehandige kruik","Gose/Hofheim 6","40","80"
"vroeg-Romeins kom","Gose/Hofheim 7","40","80"
"vroeg-Romeins beker","Gose/Hofheim 8","40","80"
"vroeg-Romeins kom","Gose/Hofheim 9","40","80"
"vroeg-Romeins kruik","Gose/Hofheim 10","40","80"
"vroeg-Romeins beker","Gose/Hofheim 11","40","80"
"vroeg-Romeins beker","Gose/Hofheim 12","40","80"
"vroeg-Romeins beker","Gose/Hofheim 22","40","100"
"vroeg-Romeins ringhals kruik","Gose/Hofheim 50","40","100"
"vroeg-Romeins ringhals kruik","Gose/Hofheim 51","40","100"
"geslibd aardewerk beker","Stuart 16/Hofheim 22","40","100"
"geslibd aardewerk beker","Hofheim 22/Stuart 16","40","100"
"gladwandig éénhandige kruik","Stuart 107/Hofheim 5","-10","150"
"gladwandig éénhandige kruik","Hofheim 5/Stuart 107","-10","150"
"geslibd aardewerk beker","Stuart 4/Brunsting 4","150","300"
"geslibd aardewerk beker","Stuart 4/Brunsting 6","150","300"
"gladwandig kruik","Stuart 110A/Brunsting 5a","70","250"
"gladwandig kruik","Brunsting 5a/Stuart 110A","70","250"
"gladwandig kruik","Stuart 110B/Brunsting 5b","70","250"
"gladwandig kruik","Brunsting 5b/Stuart 110B","70","250"
"gladwandig kruik","Stuart 111/Brunsting 6","100","300"
"gladwandig kruik","Brunsting 6/Stuart 111","100","300"
"gladwandig kruik","Stuart 130/Brunsting 21","100","260"
"gladwandig kruik","Stuart 130/Brunsting 24","100","260"
"gladwandig kruik","Brunsting 21/Stuart 130","100","260"
"gladwandig kruik","Brunsting 24/Stuart 130","100","260"
"gladwandig kruik","Stuart 131/Brunsting 23","120","300"
"gladwandig kruik","Brunsting 23/Stuart 131","120","300"
"gladwandig voetkom","Stuart 145/Brunsting 27","150","300"
"gladwandig voetkom","Brunsting 27/Stuart 145","150","300"
"mortarium","Stuart 148/Brunsting 37","70","200"
"mortarium","Brunsting 37/Stuart 148","70","200"
"mortarium","Stuart 149/Brunsting 36","40","260"
"mortarium","Brunsting 36/Stuart 149","40","260"
"ruwwandig aardewerk kookpot","Stuart 202/Brunsting 2","40","200"
"ruwwandig aardewerk kookpot","Brunsting 2/Stuart 202","40","200"
"ruwwandig aardewerk kom","Stuart 210/Brunsting 5","70","260"
"ruwwandig aardewerk kom","Brunsting 5/Stuart 210","70","260"
"ruwwandig aardewerk kom","Stuart 211/Brunsting 9","100","300"
"ruwwandig aardewerk kom","Brunsting 9/Stuart 211","100","300"
"gladwandig kruik","Stuart 111/Niederbieber 62","100","300"
"gladwandig kruik","Niederbieber 62/Stuart 111","100","300"
"gladwandig voetkom","Stuart 145/Niederbieber 82","150","300"
"gladwandig voetkom","Niederbieber 82/Stuart 145","150","300"
"ruwwandig aardewerk kom","Stuart 211/Niederbieber 104","100","300"
"ruwwandig aardewerk kom","Niederbieber 104/Stuart 211","100","300"
