typology_code,all_forms,abbreviations,pot_name_en,pot_name_nl,pot_name_de,pot_name_fr,ware_type,vessel_form,production_region,date_start,date_end,date_confidence,date_source
Blicquy 12,Blicquy 12,Blic. 12|Blic.12|Bl. 12|Bl.12,White-paste color-coated beaker,witpasta geverfde beker,Becher,gobelet,,beaker,Belgium (Hainaut — Blicquy production site),100,275,certain,Willems 1973
Blicquy 13,Blicquy 13,Blic. 13|Blic.13|Bl. 13|Bl.13,Terra nigra bulbous jar,Terra nigra bolvormige pot,Terra Nigra Topf,Terra Nigra pot,terra nigra,jar,Belgium (Hainaut — Blicquy production site),100,275,certain,Willems 1973
Blicquy 14,Blicquy 14,Blic. 14|Blic.14|Bl. 14|Bl.14,Terra rubra lid,Terra rubra deksel,Terra Rubra Deckel,Terra Rubra couvercle,terra rubra,lid,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
Blicquy 2,Blicquy 2,Blic. 2|Blic.2|Bl. 2|Bl.2,Terra nigra barrel beaker,Terra nigra tonvormige beker,Terra Nigra Becher,Terra Nigra gobelet,terra nigra,beaker,Belgium (Hainaut — Blicquy production site),60,250,certain,Willems 1973
Blicquy 3,Blicquy 3,Blic. 3|Blic.3|Bl. 3|Bl.3,Terra nigra biconical jar,Terra nigra biconische pot,Terra Nigra Topf,Terra Nigra pot,terra nigra,jar,Belgium (Hainaut — Blicquy production site),60,250,certain,Willems 1973
Blicquy 4,Blicquy 4,Blic. 4|Blic.4|Bl. 4|Bl.4,Terra nigra bowl,Terra nigra kom,Terra Nigra Schüssel,Terra Nigra bol,terra nigra,bowl,Belgium (Hainaut — Blicquy production site),60,250,certain,Willems 1973
Blicquy 5,Blicquy 5,Blic. 5|Blic.5|Bl. 5|Bl.5,Terra nigra platter,Terra nigra grote schotel,Terra Nigra Teller,Terra Nigra plat,terra nigra,platter,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
Blicquy 6,Blicquy 6,Blic. 6|Blic.6|Bl. 6|Bl.6,Terra nigra lid,Terra nigra deksel,Terra Nigra Deckel,Terra Nigra couvercle,terra nigra,lid,Belgium (Hainaut — Blicquy production site),60,250,certain,Willems 1973
Blicquy 7,Blicquy 7,Blic. 7|Blic.7|Bl. 7|Bl.7,Terra nigra wide-mouthed jar,Terra nigra wijdmondige pot,Terra Nigra Topf,Terra Nigra pot,terra nigra,jar,Belgium (Hainaut — Blicquy production site),60,275,certain,Willems 1973
Blicquy 8,Blicquy 8,Blic. 8|Blic.8|Bl. 8|Bl.8,Terra nigra storage jar,Terra nigra voorraadpot,Terra Nigra Topf,Terra Nigra pot,terra nigra,jar,Belgium (Hainaut — Blicquy production site),60,275,certain,Willems 1973
Blicquy 9,Blicquy 9,Blic. 9|Blic.9|Bl. 9|Bl.9,Terra rubra small jug,Terra rubra klein kruik,Terra Rubra Krug,Terra Rubra cruche,terra rubra,jug,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
Brabant/Hien 2,Brabant/Hien 2,B/H 2|B/H2|Brabant/Hien 2|Brabant/Hien2,Belgian grey: pot,Belgisch grijs:pot,Topf,pot,,jar,Local — Southern Netherlands / Northern Belgium,70,150,approximate,Van den Broeke 1987; Hiddink 2010
Brulet 1,Brulet 1,Brul. 1|Brul.1,Romano-Belgian coarse ware jar,Romano-Belgisch ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
Brulet 2,Brulet 2,Brul. 2|Brul.2,Romano-Belgian bowl,Romano-Belgisch kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
Brulet 3,Brulet 3,Brul. 3|Brul.3,Romano-Belgian cooking pot,Romano-Belgisch kookpot,Rauwandige Keramik Kochtopf,Céramique commune pot culinaire,coarse ware,cooking pot,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
Brulet 4,Brulet 4,Brul. 4|Brul.4,Romano-Belgian mortarium,Romano-Belgisch mortarium,Rauwandige Keramik Reibschüssel,Céramique commune mortier,coarse ware,mortarium,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
Brulet 5,Brulet 5,Brul. 5|Brul.5,Romano-Belgian flagon,Romano-Belgisch kruik,Rauwandige Keramik Krug,Céramique commune flacon,coarse ware,flagon,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
Brulet 6,Brulet 6,Brul. 6|Brul.6,Late Roman Belgian jar,laat-Romeins Belgisch pot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
Brulet 7,Brulet 7,Brul. 7|Brul.7,Late Roman Belgian bowl,laat-Romeins Belgisch kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
Brulet 8,Brulet 8,Brul. 8|Brul.8,Late Roman Belgian storage vessel,laat-Romeins Belgisch voorraadvat,Spätrömische Keramik Vorratsgefäß,Céramique du Bas-Empire récipient de stockage,late Roman ware,storage vessel,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
Brulet H33,Brulet H33,Brul. H33|Brul.H33,mortarium,wrijfschaal,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Romano-Belgian (Belgium / NE Gaul),365,435,approximate,Brulet et al. 2010
Brunsting 1,Brunsting 1,Br. 1|Br.1|Bru. 1|Bru.1|Brunst. 1|Brunst.1,Thin-walled cup,dunwandig beker,Dünnwandige Keramik Becher,Céramique à paroi fine gobelet,thin-walled ware,cup,Rhineland / Nijmegen region,-20,40,certain,Brunsting 1937
Brunsting 10,Brunsting 10,Br. 10|Br.10|Bru. 10|Bru.10|Brunst. 10|Brunst.10,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 11,Brunsting 11,Br. 11|Br.11|Bru. 11|Bru.11|Brunst. 11|Brunst.11,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 12,Brunsting 12,Br. 12|Br.12|Bru. 12|Bru.12|Brunst. 12|Brunst.12,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 141,Brunsting 141,Br. 141|Br.141|Bru. 141|Bru.141|Brunst. 141|Brunst.141,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
Brunsting 142,Brunsting 142,Br. 142|Br.142|Bru. 142|Bru.142|Brunst. 142|Brunst.142,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
Brunsting 143,Brunsting 143,Br. 143|Br.143|Bru. 143|Bru.143|Brunst. 143|Brunst.143,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
Brunsting 151,Brunsting 151,Br. 151|Br.151|Bru. 151|Bru.151|Brunst. 151|Brunst.151,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
Brunsting 160,Brunsting 160,Br. 160|Br.160|Bru. 160|Bru.160|Brunst. 160|Brunst.160,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
Brunsting 161,Brunsting 161,Br. 161|Br.161|Bru. 161|Bru.161|Brunst. 161|Brunst.161,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
Brunsting 17,Brunsting 17,Br. 17|Br.17|Bru. 17|Bru.17|Brunst. 17|Brunst.17,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
Brunsting 17/18,Brunsting 17/18,Br. 17/18|Br.17/18|Bru. 17/18|Bru.17/18|Brunst. 17/18|Brunst.17/18,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
Brunsting 18,Brunsting 18,Br. 18|Br.18|Bru. 18|Bru.18|Brunst. 18|Brunst.18,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
Brunsting 2,Brunsting 2|Stuart 202,Br. 2|Br.2|Bru. 2|Bru.2|Brunst. 2|Brunst.2|St. 202|St.202|Stu. 202|Stu.202,Coarse ware cooking pot,ruwwandig aardewerk kookpot,Rauwandige Keramik Kochtopf,Céramique commune pot culinaire,coarse ware,cooking pot,Rhineland / Nijmegen region,40,200,certain,Brunsting 1937
Brunsting 20,Brunsting 20,Br. 20|Br.20|Bru. 20|Bru.20|Brunst. 20|Brunst.20,smooth-walled jug,gladwandige kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,150,certain,Brunsting 1937
Brunsting 21,Brunsting 21|Brunsting 24|Stuart 130,Br. 21|Br.21|Bru. 21|Bru.21|Brunst. 21|Brunst.21|Br. 24|Br.24|Bru. 24|Bru.24|Brunst. 24|Brunst.24|St. 130|St.130|Stu. 130|Stu.130,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 22,Brunsting 22,Br. 22|Br.22|Bru. 22|Bru.22|Brunst. 22|Brunst.22,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 23,Brunsting 23|Stuart 131,Br. 23|Br.23|Bru. 23|Bru.23|Brunst. 23|Brunst.23|St. 131|St.131|Stu. 131|Stu.131,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,120,300,certain,Brunsting 1937
Brunsting 25,Brunsting 25,Br. 25|Br.25|Bru. 25|Bru.25|Brunst. 25|Brunst.25,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
Brunsting 26,Brunsting 26,Br. 26|Br.26|Bru. 26|Bru.26|Brunst. 26|Brunst.26,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
Brunsting 27,Brunsting 27|Niederbieber 82|Stuart 145,Br. 27|Br.27|Bru. 27|Bru.27|Brunst. 27|Brunst.27|NB 82|NB82|Nb. 82|Nb.82|Nieb. 82|Nieb.82|St. 145|St.145|Stu. 145|Stu.145,Smooth-walled goblet bowl,gladwandig voetkom,Glatttonige Keramik Schüssel,Céramique lissée bol,smooth-walled ware,bowl,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
Brunsting 3,Brunsting 3,Br. 3|Br.3|Bru. 3|Bru.3|Brunst. 3|Brunst.3,Thin-walled beaker,dunwandig beker,Dünnwandige Keramik Becher,Céramique à paroi fine gobelet,thin-walled ware,beaker,Rhineland / Nijmegen region,-10,70,certain,Brunsting 1937
Brunsting 36,Brunsting 36|Stuart 149,Br. 36|Br.36|Bru. 36|Bru.36|Brunst. 36|Brunst.36|St. 149|St.149|Stu. 149|Stu.149,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,40,260,certain,Brunsting 1937
Brunsting 37,Brunsting 37|Stuart 148,Br. 37|Br.37|Bru. 37|Bru.37|Brunst. 37|Brunst.37|St. 148|St.148|Stu. 148|Stu.148,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,70,200,certain,Brunsting 1937
Brunsting 38,Brunsting 38,Br. 38|Br.38|Bru. 38|Bru.38|Brunst. 38|Brunst.38,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 39,Brunsting 39,Br. 39|Br.39|Bru. 39|Bru.39|Brunst. 39|Brunst.39,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
Brunsting 4,Brunsting 4|Brunsting 6|Niederbieber 62|Stuart 111|Stuart 4,Br. 4|Br.4|Bru. 4|Bru.4|Brunst. 4|Brunst.4|Br. 6|Br.6|Bru. 6|Bru.6|Brunst. 6|Brunst.6|NB 62|NB62|Nb. 62|Nb.62|Nieb. 62|Nieb.62|St. 111|St.111|Stu. 111|Stu.111|St. 4|St.4|Stu. 4|Stu.4,Color-coated beaker,geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,beaker,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
Brunsting 4b,Brunsting 4b,Br. 4b|Br.4b|Bru. 4b|Bru.4b|Brunst. 4b|Brunst.4b,rough-walled cooking pot,ruwwandige (kook)pot,Kochtopf,pot culinaire,,cooking pot,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
Brunsting 5,Brunsting 5|Stuart 210,Br. 5|Br.5|Bru. 5|Bru.5|Brunst. 5|Brunst.5|St. 210|St.210|Stu. 210|Stu.210,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,70,260,certain,Brunsting 1937
Brunsting 5a,Brunsting 5a|Stuart 110A,Br. 5a|Br.5a|Bru. 5a|Bru.5a|Brunst. 5a|Brunst.5a|St. 110A|St.110A|Stu. 110A|Stu.110A,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
Brunsting 5b,Brunsting 5b|Stuart 110B,Br. 5b|Br.5b|Bru. 5b|Bru.5b|Brunst. 5b|Brunst.5b|St. 110B|St.110B|Stu. 110B|Stu.110B,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
Brunsting 5c,Brunsting 5c,Br. 5c|Br.5c|Bru. 5c|Bru.5c|Brunst. 5c|Brunst.5c,smooth-walled jug,gladwandige kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
Brunsting 7,Brunsting 7,Br. 7|Br.7|Bru. 7|Bru.7|Brunst. 7|Brunst.7,Smooth-walled beaker,gladwandig beker,Glatttonige Keramik Becher,Céramique lissée gobelet,smooth-walled ware,beaker,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
Brunsting 8,Brunsting 8|Niederbieber 103,Br. 8|Br.8|Bru. 8|Bru.8|Brunst. 8|Brunst.8|NB 103|NB103|Nb. 103|Nb.103|Nieb. 103|Nieb.103,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
