id,typology_code,synonyms,abbreviations,pot_name_en,pot_name_nl,pot_name_de,pot_name_fr,ware_type,vessel_form,production_region,date_start,date_end,date_confidence,date_source
48,Blicquy 8,,Blic. 8|Blic.8|Bl. 8|Bl.8,Terra nigra storage jar,Terra nigra voorraadpot,Terra Nigra Topf,Terra Nigra pot,terra nigra,jar,Belgium (Hainaut — Blicquy production site),60,275,certain,Willems 1973
49,Blicquy 9,,Blic. 9|Blic.9|Bl. 9|Bl.9,Terra rubra small jug,Terra rubra klein kruik,Terra Rubra Krug,Terra Rubra cruche,terra rubra,jug,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
50,Brulet 1,,Brul. 1|Brul.1,Romano-Belgian coarse ware jar,Romano-Belgisch ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
51,Brulet 2,,Brul. 2|Brul.2,Romano-Belgian bowl,Romano-Belgisch kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
52,Brulet 3,,Brul. 3|Brul.3,Romano-Belgian cooking pot,Romano-Belgisch kookpot,Rauwandige Keramik Kochtopf,Céramique commune pot culinaire,coarse ware,cooking pot,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
53,Brulet 4,,Brul. 4|Brul.4,Romano-Belgian mortarium,Romano-Belgisch mortarium,Rauwandige Keramik Reibschüssel,Céramique commune mortier,coarse ware,mortarium,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
54,Brulet 5,,Brul. 5|Brul.5,Romano-Belgian flagon,Romano-Belgisch kruik,Rauwandige Keramik Krug,Céramique commune flacon,coarse ware,flagon,Romano-Belgian (Belgium / NE Gaul),50,270,approximate,Brulet et al. 2010
55,Brulet 6,,Brul. 6|Brul.6,Late Roman Belgian jar,laat-Romeins Belgisch pot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
56,Brulet 7,,Brul. 7|Brul.7,Late Roman Belgian bowl,laat-Romeins Belgisch kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
57,Brulet 8,,Brul. 8|Brul.8,Late Roman Belgian storage vessel,laat-Romeins Belgisch voorraadvat,Spätrömische Keramik Vorratsgefäß,Céramique du Bas-Empire récipient de stockage,late Roman ware,storage vessel,Romano-Belgian (Belgium / NE Gaul),270,450,approximate,Brulet et al. 2010
58,Brunsting 1,,Br. 1|Br.1|Bru. 1|Bru.1|Brunst. 1|Brunst.1,Thin-walled cup,dunwandig beker,Dünnwandige Keramik Becher,Céramique à paroi fine gobelet,thin-walled ware,cup,Rhineland / Nijmegen region,-20,40,certain,Brunsting 1937
59,Brunsting 10,,Br. 10|Br.10|Bru. 10|Bru.10|Brunst. 10|Brunst.10,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
60,Brunsting 11,,Br. 11|Br.11|Bru. 11|Bru.11|Brunst. 11|Brunst.11,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
61,Brunsting 12,,Br. 12|Br.12|Bru. 12|Bru.12|Brunst. 12|Brunst.12,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
62,Brunsting 141,,Br. 141|Br.141|Bru. 141|Bru.141|Brunst. 141|Brunst.141,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
63,Brunsting 142,,Br. 142|Br.142|Bru. 142|Bru.142|Brunst. 142|Brunst.142,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
64,Brunsting 143,,Br. 143|Br.143|Bru. 143|Bru.143|Brunst. 143|Brunst.143,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,150,350,certain,Brunsting 1937
65,Brunsting 151,,Br. 151|Br.151|Bru. 151|Bru.151|Brunst. 151|Brunst.151,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
66,Brunsting 160,,Br. 160|Br.160|Bru. 160|Bru.160|Brunst. 160|Brunst.160,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
67,Brunsting 161,,Br. 161|Br.161|Bru. 161|Bru.161|Brunst. 161|Brunst.161,Late coarse ware vessel,laat ruwwandig aardewerk vat,,,,,Rhineland / Nijmegen region,200,400,certain,Brunsting 1937
68,Brunsting 17,,Br. 17|Br.17|Bru. 17|Bru.17|Brunst. 17|Brunst.17,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
69,Brunsting 17/18,,Br. 17/18|Br.17/18|Bru. 17/18|Bru.17/18|Brunst. 17/18|Brunst.17/18,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
70,Brunsting 18,,Br. 18|Br.18|Bru. 18|Bru.18|Brunst. 18|Brunst.18,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Rhineland / Nijmegen region,50,200,certain,Brunsting 1937
71,Brunsting 2,Stuart 202,Br. 2|Br.2|Bru. 2|Bru.2|Brunst. 2|Brunst.2,Coarse ware cooking pot,ruwwandig aardewerk kookpot,Rauwandige Keramik Kochtopf,Céramique commune pot culinaire,coarse ware,cooking pot,Rhineland / Nijmegen region,40,200,certain,Brunsting 1937
72,Brunsting 21,Brunsting 24|Stuart 130,Br. 21|Br.21|Bru. 21|Bru.21|Brunst. 21|Brunst.21,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
73,Brunsting 22,,Br. 22|Br.22|Bru. 22|Bru.22|Brunst. 22|Brunst.22,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
74,Brunsting 23,Stuart 131,Br. 23|Br.23|Bru. 23|Bru.23|Brunst. 23|Brunst.23,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,120,300,certain,Brunsting 1937
75,Brunsting 24,Brunsting 21|Stuart 130,Br. 24|Br.24|Bru. 24|Bru.24|Brunst. 24|Brunst.24,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
76,Brunsting 25,,Br. 25|Br.25|Bru. 25|Bru.25|Brunst. 25|Brunst.25,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
77,Brunsting 26,,Br. 26|Br.26|Bru. 26|Bru.26|Brunst. 26|Brunst.26,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
78,Brunsting 27,Niederbieber 82|Stuart 145,Br. 27|Br.27|Bru. 27|Bru.27|Brunst. 27|Brunst.27,Smooth-walled goblet bowl,gladwandig voetkom,Glatttonige Keramik Schüssel,Céramique lissée bol,smooth-walled ware,bowl,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
79,Brunsting 3,,Br. 3|Br.3|Bru. 3|Bru.3|Brunst. 3|Brunst.3,Thin-walled beaker,dunwandig beker,Dünnwandige Keramik Becher,Céramique à paroi fine gobelet,thin-walled ware,beaker,Rhineland / Nijmegen region,-10,70,certain,Brunsting 1937
80,Brunsting 36,Stuart 149,Br. 36|Br.36|Bru. 36|Bru.36|Brunst. 36|Brunst.36,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,40,260,certain,Brunsting 1937
81,Brunsting 37,Stuart 148,Br. 37|Br.37|Bru. 37|Bru.37|Brunst. 37|Brunst.37,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,70,200,certain,Brunsting 1937
82,Brunsting 38,,Br. 38|Br.38|Bru. 38|Bru.38|Brunst. 38|Brunst.38,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
83,Brunsting 39,,Br. 39|Br.39|Bru. 39|Bru.39|Brunst. 39|Brunst.39,Mortarium,mortarium,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
84,Brunsting 4,Brunsting 6|Niederbieber 62|Stuart 111|Stuart 4,Br. 4|Br.4|Bru. 4|Bru.4|Brunst. 4|Brunst.4,Color-coated beaker,geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,beaker,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
85,Brunsting 5,Stuart 210,Br. 5|Br.5|Bru. 5|Bru.5|Brunst. 5|Brunst.5,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,70,260,certain,Brunsting 1937
86,Brunsting 5a,Stuart 110A,Br. 5a|Br.5a|Bru. 5a|Bru.5a|Brunst. 5a|Brunst.5a,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
87,Brunsting 5b,Stuart 110B,Br. 5b|Br.5b|Bru. 5b|Bru.5b|Brunst. 5b|Brunst.5b,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,70,250,certain,Brunsting 1937
88,Brunsting 6,Brunsting 4|Niederbieber 62|Stuart 111|Stuart 4,Br. 6|Br.6|Bru. 6|Bru.6|Brunst. 6|Brunst.6,Smooth-walled jug,gladwandig kruik,Glatttonige Keramik Krug,Céramique lissée cruche,smooth-walled ware,jug,Rhineland / Nijmegen region,100,300,certain,Brunsting 1937
89,Brunsting 7,,Br. 7|Br.7|Bru. 7|Bru.7|Brunst. 7|Brunst.7,Smooth-walled beaker,gladwandig beker,Glatttonige Keramik Becher,Céramique lissée gobelet,smooth-walled ware,beaker,Rhineland / Nijmegen region,100,260,certain,Brunsting 1937
90,Brunsting 8,Niederbieber 103,Br. 8|Br.8|Bru. 8|Bru.8|Brunst. 8|Brunst.8,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,150,300,certain,Brunsting 1937
91,Brunsting 9,Niederbieber 104|Stuart 211,Br. 9|Br.9|Bru. 9|Bru.9|Brunst. 9|Brunst.9,Coarse ware bowl,ruwwandig aardewerk kom,Rauwandige Keramik Schüssel,Céramique commune bol,coarse ware,bowl,Rhineland / Nijmegen region,100,300,certain,Brunsting 1937
92,Camulodunum 107,,Cam. 107|Cam.107|C. 107|C.107,Terra nigra platter,Terra nigra grote schotel,Terra Nigra Teller,Terra Nigra plat,terra nigra,platter,Continental / British imports,-20,40,certain,Hawkes & Hull 1947
93,Camulodunum 108,,Cam. 108|Cam.108|C. 108|C.108,Terra nigra platter,Terra nigra grote schotel,Terra Nigra Teller,Terra Nigra plat,terra nigra,platter,Continental / British imports,-20,40,certain,Hawkes & Hull 1947
94,Camulodunum 110,,Cam. 110|Cam.110|C. 110|C.110,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-50,50,certain,Hawkes & Hull 1947
95,Camulodunum 111,,Cam. 111|Cam.111|C. 111|C.111,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-30,40,certain,Hawkes & Hull 1947
96,Camulodunum 112,,Cam. 112|Cam.112|C. 112|C.112,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-30,40,certain,Hawkes & Hull 1947
97,Camulodunum 113,,Cam. 113|Cam.113|C. 113|C.113,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-30,40,certain,Hawkes & Hull 1947
98,Camulodunum 114,,Cam. 114|Cam.114|C. 114|C.114,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-20,50,certain,Hawkes & Hull 1947
99,Camulodunum 115,,Cam. 115|Cam.115|C. 115|C.115,Terra rubra platter,Terra rubra grote schotel,Terra Rubra Teller,Terra Rubra plat,terra rubra,platter,Continental / British imports,-20,50,certain,Hawkes & Hull 1947
100,Camulodunum 120,,Cam. 120|Cam.120|C. 120|C.120,Terra nigra cup,Terra nigra beker,Terra Nigra Becher,Terra Nigra gobelet,terra nigra,cup,Continental / British imports,-20,40,certain,Hawkes & Hull 1947
101,Camulodunum 162,,Cam. 162|Cam.162|C. 162|C.162,Coarse ware jar,ruwwandig aardewerk pot,Rauwandige Keramik Topf,Céramique commune pot,coarse ware,jar,Continental / British imports,43,200,certain,Hawkes & Hull 1947
102,Camulodunum 163,,Cam. 163|Cam.163|C. 163|C.163,Coarse ware beaker,ruwwandig aardewerk beker,Rauwandige Keramik Becher,Céramique commune gobelet,coarse ware,beaker,Continental / British imports,43,200,certain,Hawkes & Hull 1947
