report,site_name_verdict,site_name_gold,site_name_workflow,pottery_verdict,pottery_gold,pottery_workflow,typology_verdict,typology_gold,typology_workflow,start_date_verdict,start_date_gold,start_date_workflow,end_date_verdict,end_date_gold,end_date_workflow
old_rep_5,exact,Eygelshoven,Eygelshoven,exact,Urn,Urn,exact,,,exact,101,101,exact,200,200
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,amphora,amphora,exact,Mayen R19,Mayen R19,exact,365,365,exact,435,435
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman bowl,Late Roman bowl,exact,Alzey 28,Alzey 28,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage vessel,Late Roman storage vessel,exact,Alzey 29,Alzey 29,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Coarse ware bowl,Coarse ware bowl,exact,Niederbieber 104,Niederbieber 104,exact,100,100,exact,300,300
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Trier bowl,Trier bowl,exact,"Trier III, 40a","Trier III, 40a",exact,280,280,exact,355,355
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman cooking pot,Late Roman cooking pot,exact,Alzey 27,Alzey 27,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage jar,Late Roman storage jar,exact,Alzey 30,Alzey 30,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman lid,Late Roman lid,exact,Alzey 34,Alzey 34,exact,300,300,exact,420,420
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman bowl,Late Roman bowl,exact,Alzey 28,Alzey 28 cf.,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman cooking pot,Late Roman cooking pot,exact,Alzey 27,Alzey 27,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage vessel,Late Roman storage vessel,exact,Alzey 29,Alzey 29,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Coarse ware bowl,Coarse ware bowl,exact,Niederbieber 104 cf.,Niederbieber 104 cf.,exact,100,100,exact,300,300
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage jar,Late Roman storage jar,exact,Alzey 30,Alzey 30,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman bowl,Late Roman bowl,exact,Alzey 28 cf.,Alzey 28,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Cheese strainer,Cheese strainer,exact,FG1a,FG1a,exact,40,40,exact,120,120
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman cooking pot,Late Roman cooking pot,exact,Alzey 27,Alzey 27,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Coarse ware cooking pot,Coarse ware cooking pot,exact,Niederbieber 89,Niederbieber 89,exact,150,150,exact,300,300
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage jar,Late Roman storage jar,exact,Alzey 30,Alzey 30,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage vessel,Late Roman storage vessel,exact,Alzey 29,Alzey 29,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Trier bowl,Trier bowl,exact,"Trier III, 40a","Trier III, 40a",exact,280,280,exact,355,355
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman storage vessel,Late Roman storage vessel,exact,Alzey 29,Alzey 29,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman dish,Late Roman dish,exact,Alzey 33 cf,Alzey 33 cf.,exact,350,350,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Late Roman cooking pot,Late Roman cooking pot,exact,Alzey 27,Alzey 27,exact,300,300,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Bowl,Bowl,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Bowl/Jar,Bowl/Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Bowl/Jar,Bowl/Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Dolium,Dolium,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jar,Jar,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jug,Jug,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Jug,Jug,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Plate,Plate,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Plate,Plate,exact,,,exact,270,270,exact,450,450
table_1,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Plate,Plate,exact,,,exact,270,270,exact,450,450
table_2,exact,508067,508067,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,exact,508067,508067,exact,Pottery,Pottery,exact,,,exact,70,70,exact,270,270
table_2,incorrect,500203,,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,incorrect,500205,,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500218,500218,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,incorrect,500219,,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500227,500227,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500227,500227,exact,Dolium,Dolium,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500227,500227,exact,Cooking pot,Cooking pot,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500227,500227,exact,Flagon ware,Flagon ware,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500383,500383,exact,Pottery,Pottery,exact,,,exact,-12,-12,exact,450,450
table_2,exact,500050,500050,exact,Pottery,Pottery,exact,,,incorrect,-250,-800,exact,-12,-12
table_2,incorrect,508040,Horebeke,acceptable,Handmade ware pot,Handmade ware,exact,,,incorrect,-250,-800,exact,-12,-12
table_3,exact,Nijmegen,Nijmegen,exact,Arretina,Arretina,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Fine ware,Fine ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Gallo-Belgic ware,Gallo-Belgic ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Pompeian red ware,Pompeian red ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Smooth ware,Smooth ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Mortarium,Mortarium,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Coarse ware,Coarse ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Cork ware,Cork ware,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,exact,Handmade pottery,Handmade pottery,exact,,,exact,-19,-19,exact,-16,-16
table_3,exact,Nijmegen,Nijmegen,acceptable,Dolium,Dolia,exact,,,exact,-19,-19,exact,-16,-16
table_4,exact,Nijmegen,Nijmegen,exact,Baetica defrutum amphora,Baetica defrutum amphora,exact,Haltern 70,Haltern 70,exact,-50,-50,exact,100,100
table_4,exact,Nijmegen,Nijmegen,exact,Spanish fish sauce amphora,Spanish fish sauce amphora,exact,Dressel 7-11,Dressel 7-11,exact,-20,-20,exact,90,90
table_4,exact,Nijmegen,Nijmegen,exact,Spanish fish sauce amphora,Spanish fish sauce amphora,exact,Dressel 7,Dressel 7,exact,-30,-30,exact,60,60
table_4,exact,Nijmegen,Nijmegen,exact,Spanish fish sauce amphora,Spanish fish sauce amphora,exact,Dressel 7-11,Dressel 7-11,exact,-20,-20,exact,90,90
table_4,exact,Nijmegen,Nijmegen,exact,Spanish fish sauce amphora,Spanish fish sauce amphora,exact,Dressel 12,Dressel 12,exact,-20,-20,exact,80,80
table_4,exact,Nijmegen,Nijmegen,exact,Italian wine amphora,Italian wine amphora,exact,Dressel 1B,Dressel 1B,exact,-130,-130,exact,-10,-10
table_4,exact,Nijmegen,Nijmegen,acceptable,Amphora,Adriatic wine amphora,exact,Lamboglia 2/Dressel 6A,Lamboglia 2/Dressel 6A,exact,-130,-130,exact,70,70
table_4,exact,Nijmegen,Nijmegen,acceptable,Amphora,Italian/Spanish wine amphora,exact,Dressel 2-5,Dressel 2-5,exact,-30,-30,exact,250,250
table_4,exact,Nijmegen,Nijmegen,exact,pottery,pottery,exact,Oberaden 83,Oberaden 83,exact,-11,-11,exact,-7,-7
table_4,exact,Nijmegen,Nijmegen,exact,Coarse ware vessel,Coarse ware vessel,exact,Camulodunum 184,Camulodunum 184,exact,43,43,exact,250,250
table_4,exact,Nijmegen,Nijmegen,exact,Knidian wine amphora,Knidian wine amphora,exact,Pompeii 38,Pompeii 38,exact,-50,-50,exact,100,100
table_4,exact,Nijmegen,Nijmegen,exact,Tarraconensian wine amphora,Tarraconensian wine amphora,exact,Pascual 1,Pascual 1,exact,-100,-100,exact,-20,-20
table_4,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,Haltern 59,Haltern 59,exact,-15,-15,exact,25,25
table_4,exact,Nijmegen,Nijmegen,exact,pottery,pottery,exact,Oberaden 21,Oberaden 21,exact,-11,-11,exact,-7,-7
table_4,exact,Nijmegen,Nijmegen,exact,jug,jug,exact,Stuart 103/Oberaden 43,Stuart 103/Oberaden 43,exact,70,70,exact,250,250
table_4,exact,Nijmegen,Nijmegen,exact,Smooth-walled jug,Smooth-walled jug,exact,Stuart 131/Oberaden 48-49,Stuart 131/Oberaden 48-49,exact,120,120,exact,300,300
table_4,exact,Nijmegen,Nijmegen,acceptable,Flagon,jug,exact,Stuart 133/Oberaden 52,Stuart 133/Oberaden 52,exact,70,70,exact,250,250
table_4,exact,Nijmegen,Nijmegen,exact,Smooth-walled honey pot,Smooth-walled honey pot,exact,Stuart 146,Stuart 146,exact,100,100,exact,300,300
table_4,exact,Nijmegen,Nijmegen,exact,pottery,pottery,exact,Stuart 147,Stuart 147,exact,70,70,exact,250,250
table_4,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,,,exact,-20,-20,exact,-10,-10
table_4,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,,,exact,-20,-20,exact,-10,-10
table_4,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,,,exact,-20,-20,exact,-10,-10
table_4,exact,Nijmegen,Nijmegen,exact,Amphora,Amphora,exact,,,exact,-20,-20,exact,-10,-10
table_4,exact,Nijmegen,Nijmegen,exact,Dolium,Dolium,exact,,,acceptable,-27,-20,acceptable,14,-10
table_4,exact,Nijmegen,Nijmegen,exact,Terra sigillata,Terra sigillata,exact,,,acceptable,-27,-20,acceptable,14,-10
table_4,exact,Nijmegen,Nijmegen,exact,Beaker,Beaker,exact,,,acceptable,-27,-20,acceptable,14,-10
table_4,exact,Nijmegen,Nijmegen,exact,Cooking pot,Cooking pot,exact,,,acceptable,-27,-20,acceptable,14,-10
table_4,missing,Nijmegen,,missing,Pot,,missing,,,missing,-20,,missing,-10,
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra flask-shaped pot,Terra nigra flask-shaped pot,exact,Holwerda 25,Holwerda 25,exact,-30,-30,exact,70,70
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra round-oval pot,Terra nigra round-oval pot,exact,Holwerda 27,Holwerda 27,exact,-25,-25,exact,70,70
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,rough-walled Nijmegen pottery,rough-walled Nijmegen pottery,exact,Holwerda 66,Holwerda 66,exact,-20,-20,exact,120,120
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra plate,Terra nigra plate,exact,Holwerda 81,Holwerda 81,exact,-30,-30,exact,70,70
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Handmade cork urn,Handmade cork urn,exact,Holwerda 94,Holwerda 94,exact,-100,-100,exact,80,80
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Color-coated beaker,Color-coated beaker,exact,Niederbieber 33,Niederbieber 33,exact,150,150,exact,300,300
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra pot,Terra nigra pot,exact,,,incorrect,1,,incorrect,300,
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra,Terra nigra,exact,,,incorrect,1,,incorrect,300,
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Terra nigra,Terra nigra,exact,,,incorrect,1,,incorrect,300,
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,exact,Beaker,Beaker,exact,,,incorrect,1,,incorrect,300,
table_5,exact,Kerkrade-Holzkuil,Kerkrade-Holzkuil,acceptable,Indeterminate,Cork urn,exact,,,incorrect,1,,incorrect,300,
ocr_1,exact,Englum,Englum,exact,Arretine ware plate,Arretine ware plate,exact,Conspectus 11,Conspectus 11,exact,-30,-30,exact,30,30
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,22-3-6/4056,22-3-6/4056,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,513-2/20-1-67,513-2/20-1-67,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,514-3/20-3-63,514-3/20-3-63,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,711-1/13-1-27,711-1/13-1-27,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,757-10/109-2-5,757-10/109-2-5,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,768-1/15-2-19,768-1/15-2-19,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,768-2/15-2-19,768-2/15-2-19,exact,,,exact,270,270,exact,450,450
ocr_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,791-1/95-2-22,791-1/95-2-22,exact,,,exact,270,270,exact,450,450
ocr_3,incorrect,Heerlen,Spekholzerheide,exact,Roman ware,Roman ware,exact,,,exact,101,101,exact,200,200
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata plate,Terra sigillata plate,exact,Dragendorff 18/31,Dragendorff 18/31,exact,70,70,exact,200,200
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata plate,Terra sigillata plate,exact,Dragendorff 32,Dragendorff 32,exact,150,150,exact,300,300
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata mortarium,Terra sigillata mortarium,exact,Dragendorff 45,Dragendorff 45,exact,150,150,exact,400,400
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 29,Dragendorff 29,exact,15,15,exact,100,100
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,exact,450,450
ocr_4,exact,Heerlen,Heerlen,exact,Beaker,Beaker,exact,,,exact,-12,-12,exact,450,450
ocr_4,exact,Heerlen,Heerlen,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,exact,450,450
ocr_4,exact,Heerlen,Heerlen,exact,Native ware,Native ware,exact,,,exact,-12,-12,exact,450,450
ocr_5,exact,Coriovallum,Coriovallum,exact,Beaker,Beaker,exact,,,acceptable,-27,-12,incorrect,20,450
ocr_5,exact,Coriovallum,Coriovallum,acceptable,Beaker,ACO beaker,exact,,,exact,-27,-27,exact,14,14
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Gallic wine amphora,Gallic wine amphora,exact,Gauloise 4,Gauloise 4,exact,75,75,exact,300,300
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Baetican olive oil amphora,Baetican olive oil amphora,exact,Dressel 20,Dressel 20,exact,-10,-10,exact,260,260
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Mortarium,Mortarium,exact,Brunsting 37,Brunsting 37,exact,70,70,exact,200,200
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Red coarse ware,Red coarse ware,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,White smooth-walled ware,White smooth-walled ware,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Dolium,Dolium,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Olive oil amphora,Olive oil amphora,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Dolium,Dolium,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Mortarium,Mortarium,exact,,,exact,101,101,exact,450,450
new_rep_1,exact,GasUnie trench,GasUnie trench,exact,Pottery,Pottery,exact,,,exact,,,exact,,
new_rep_1,exact,GasUnie trench,GasUnie trench,acceptable,Beaker,Painted beaker,exact,,,exact,101,101,exact,200,200
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 29,Dragendorff 29,exact,15,15,exact,100,100
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 29,Dragendorff 29,exact,15,15,exact,100,100
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 29,Dragendorff 29,exact,15,15,exact,100,100
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,acceptable,Terra sigillata decorated beaker,Terra sigillata decorated bowl,exact,Dragendorff 30,Dragendorff 30,exact,20,20,exact,200,200
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
new_rep_2,exact,Voerendaal-Ten Hove,Voerendaal-Ten Hove,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
