abr_combined_code,combined_label_nl,combined_uri,ware_label_nl,ware_uri,form_code,form_label_nl,typology_abr
AMFOOR.ST132,"amfoor, dikwandig aardewerk - Stuart 132:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/6090457e-7ec9-4ba8-95fe-58bb6b45850e,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.STAND,standamfoor,Stuart 132:standamfoor
AMFOOR.STANDAMFOOR,amfoor aardewerk:standamfoor,https://data.cultureelerfgoed.nl/term/id/abr/c32c731a-0aa1-4bd0-a73f-2c394109f7a0,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.STAND,standamfoor,
AMFOOR.WIJIIIC,"amfoor, dikwandig aardewerk - Wijster IIIC:lang cilindrische nek",https://data.cultureelerfgoed.nl/term/id/abr/2603b04f-744c-43ae-bca0-4e4df2587895,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Wijster IIIC:lang cilindrische nek
AMFOORBAET,"amfoor aardewerk, Baetica (Gaudalquivir):onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/5ef0953e-feb0-4be3-b929-773b8212326f,"amfoor aardewerk, Baetica (Gaudalquivir)",https://data.cultureelerfgoed.nl/term/id/abr/7b9266c8-bbf3-4702-b38e-3219fb743330,,aardewerk:onbepaald (ROM),
AMFOORBAET.AMFOOR,"amfoor aardewerk, Baetica (Gaudalquivir):amfoor",https://data.cultureelerfgoed.nl/term/id/abr/8ea62ccc-ec84-478f-a9b4-c14f1f4e682b,"amfoor aardewerk, Baetica (Gaudalquivir)",https://data.cultureelerfgoed.nl/term/id/abr/7b9266c8-bbf3-4702-b38e-3219fb743330,AMFOOR.VERZ,amfoor,
AMFOORBAET.PUNTAMFOOR,"amfoor aardewerk, Baetica (Gaudalquivir):puntamfoor",https://data.cultureelerfgoed.nl/term/id/abr/4025d84e-b1e8-48bf-ab99-c66524bcdde3,"amfoor aardewerk, Baetica (Gaudalquivir)",https://data.cultureelerfgoed.nl/term/id/abr/7b9266c8-bbf3-4702-b38e-3219fb743330,PUNTAMF,puntamfoor,
AMFOOREGEI,"amfoor aardewerk, Egeïsch gebied:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/b5a47b9a-cc22-4a91-a2c7-7f8aa97392da,"amfoor aardewerk, Egeïsch gebied",https://data.cultureelerfgoed.nl/term/id/abr/61b5a2e1-ceaa-4462-bfd0-49f24595ea3e,,aardewerk:onbepaald (ROM),
AMFOOREGEI.AMFOOR,"amfoor aardewerk, Egeïsch gebied:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/8e4f8ef8-4a22-4f78-8591-465655d90764,"amfoor aardewerk, Egeïsch gebied",https://data.cultureelerfgoed.nl/term/id/abr/61b5a2e1-ceaa-4462-bfd0-49f24595ea3e,AMFOOR.VERZ,amfoor,
AMFOOREGEI.PUNTAMFOOR,"amfoor aardewerk, Egeïsch gebied:puntamfoor",https://data.cultureelerfgoed.nl/term/id/abr/a520a7fe-0bf5-4bad-b1b3-05358a1048c8,"amfoor aardewerk, Egeïsch gebied",https://data.cultureelerfgoed.nl/term/id/abr/61b5a2e1-ceaa-4462-bfd0-49f24595ea3e,PUNTAMF,puntamfoor,
AMFOORGALL,"amfoor aardewerk, Gallië:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/610e14a7-2f25-4023-a93b-587111b99d0c,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,,aardewerk:onbepaald (ROM),
AMFOORGALL.AMFOOR,"amfoor aardewerk, Gallië:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/219f4176-5303-47dc-8abe-62abd3dd9bee,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.VERZ,amfoor,
AMFOORGALL.STANDAMFOOR,"amfoor aardewerk, Gallië:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/5722450c-242e-4a53-96a8-d59ff7c72be0,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.STAND,standamfoor,
AMFOORITAL,"amfoor aardewerk, Italië:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/bab82f7f-8ea8-4a37-a6ef-b91caad7067a,"amfoor aardewerk, Italië",https://data.cultureelerfgoed.nl/term/id/abr/df9250a3-83d2-41de-bdd1-f442394ae325,,aardewerk:onbepaald (ROM),
AMFOORITAL.AMFOOR,"amfoor aardewerk, Italië:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/a4394ec9-446c-4e54-93fb-231279345c22,"amfoor aardewerk, Italië",https://data.cultureelerfgoed.nl/term/id/abr/df9250a3-83d2-41de-bdd1-f442394ae325,AMFOOR.VERZ,amfoor,
AMFOORITAL.PUNTAMFOOR,"amfoor aardewerk, Italië:puntamfoor",https://data.cultureelerfgoed.nl/term/id/abr/45afcc1b-1110-4afe-9960-37e0784ad9cd,"amfoor aardewerk, Italië",https://data.cultureelerfgoed.nl/term/id/abr/df9250a3-83d2-41de-bdd1-f442394ae325,PUNTAMF,puntamfoor,
AMFOORITAL.STANDAMFOOR,"amfoor aardewerk, Italië:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/140c8deb-4899-462c-a7ea-35837b4837db,"amfoor aardewerk, Italië",https://data.cultureelerfgoed.nl/term/id/abr/df9250a3-83d2-41de-bdd1-f442394ae325,AMFOOR.STAND,standamfoor,
AMFOORREG,regionaal amfoor aardewerk:onbepaald,https://data.cultureelerfgoed.nl/term/id/abr/f1113c70-128d-4b7a-a5a9-2967c0e85e57,regionaal amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/063d637f-af55-4553-a4ee-669fe03a8147,,aardewerk:onbepaald (ROM),
AMFOORREG.AMFOOR,regionaal amfoor aardewerk:amfoor,https://data.cultureelerfgoed.nl/term/id/abr/b4fc3b48-bf9a-4f0f-a8bf-390f60c7de51,regionaal amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/063d637f-af55-4553-a4ee-669fe03a8147,AMFOOR.VERZ,amfoor,
AMFOORREG.PUNTAMFOOR,regionaal amfoor aardewerk:puntamfoor,https://data.cultureelerfgoed.nl/term/id/abr/075d6d69-5296-4669-b2a7-6194c5a6b573,regionaal amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/063d637f-af55-4553-a4ee-669fe03a8147,PUNTAMF,puntamfoor,
AMFOORREG.STANDAMFOOR,regionaal amfoor aardewerk:standamfoor,https://data.cultureelerfgoed.nl/term/id/abr/cd0d0e6e-38be-484d-a6d1-bbd677be7e3c,regionaal amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/063d637f-af55-4553-a4ee-669fe03a8147,AMFOOR.STAND,standamfoor,
AMFOORREGMAAS,"regionaal amfoor aardewerk, Maasland/Haspengouw:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/5802f769-768b-4b1c-bec8-cd73e54c5a9d,"regionaal amfoor aardewerk, Maasland/Haspengouw",https://data.cultureelerfgoed.nl/term/id/abr/b5521b99-887c-409f-89c9-adc71c102668,,aardewerk:onbepaald (ROM),
AMFOORREGMAAS.AMFOOR,"regionaal amfoor aardewerk, Maasland/Haspengouw:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/5a564851-daea-4f41-b6ce-5c078e8b1530,"regionaal amfoor aardewerk, Maasland/Haspengouw",https://data.cultureelerfgoed.nl/term/id/abr/b5521b99-887c-409f-89c9-adc71c102668,AMFOOR.VERZ,amfoor,
AMFOORREGMAH.STANDAMFOOR,"regionaal amfoor aardewerk, Maasland/Haspengouw:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/84119bee-ac3e-41c9-9e9e-43215ced3f14,"regionaal amfoor aardewerk, Maasland/Haspengouw",https://data.cultureelerfgoed.nl/term/id/abr/b5521b99-887c-409f-89c9-adc71c102668,AMFOOR.STAND,standamfoor,
AMFOORREGMOEZ,"regionaal amfoor aardewerk, Beneden-Moezel:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/c9e524b7-2db8-425c-a1c8-7c29e7779291,"regionaal amfoor aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/cd4e9833-fea1-4c65-aa57-129fd11fc5d2,,aardewerk:onbepaald (ROM),
AMFOORREGMOEZ.AMFOOR,"regionaal amfoor aardewerk, Beneden-Moezel:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/a5d1739f-c9f3-4f2a-bb8e-f1aa065b34e3,"regionaal amfoor aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/cd4e9833-fea1-4c65-aa57-129fd11fc5d2,AMFOOR.VERZ,amfoor,
AMFOORREGMOEZ.STANDAMFOOR,"regionaal amfoor aardewerk, Beneden-Moezel:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/66bc675d-5ab8-4e3e-86d1-6bf5582965fe,"regionaal amfoor aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/cd4e9833-fea1-4c65-aa57-129fd11fc5d2,AMFOOR.STAND,standamfoor,
AMFOORREGNGALL,"regionaal amfoor aardewerk, Noord-Gallië:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/9b1e60cd-9b29-480f-87cb-49100dafa277,"regionaal amfoor aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/2e50e581-968b-41cc-b5c1-7cb912736ccd,,aardewerk:onbepaald (ROM),
AMFOORREGNGALL.AMFOOR,"regionaal amfoor aardewerk, Noord-Gallië:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/ee83fd57-04aa-412b-a5ba-f55e0412413d,"regionaal amfoor aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/2e50e581-968b-41cc-b5c1-7cb912736ccd,AMFOOR.VERZ,amfoor,
AMFOORREGNGALL.PUNTAMFOOR,"regionaal amfoor aardewerk, Noord-Gallië:puntamfoor",https://data.cultureelerfgoed.nl/term/id/abr/42cfbc68-c6d1-4c64-b4df-2bc9277599d2,"regionaal amfoor aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/2e50e581-968b-41cc-b5c1-7cb912736ccd,PUNTAMF,puntamfoor,
AMFOORREGNGALL.STANDAMFOOR,"regionaal amfoor aardewerk, Noord-Gallië:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/41e2308f-9d27-493e-94bb-90121a8db44b,"regionaal amfoor aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/2e50e581-968b-41cc-b5c1-7cb912736ccd,AMFOOR.STAND,standamfoor,
AMFOORREGRIJN,"regionaal amfoor aardewerk, Rijnland:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/359f6131-db7b-439a-98af-6a8c921a15d1,"regionaal amfoor aardewerk, Rijnland",https://data.cultureelerfgoed.nl/term/id/abr/f8ceacdd-66b4-41dd-ade3-36c76a832e53,,aardewerk:onbepaald (ROM),
AMFOORREGRIJN.AMFOOR,"regionaal amfoor aardewerk, Rijnland:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/ba7ca3f0-3eab-4124-8624-900e00167322,"regionaal amfoor aardewerk, Rijnland",https://data.cultureelerfgoed.nl/term/id/abr/f8ceacdd-66b4-41dd-ade3-36c76a832e53,AMFOOR.VERZ,amfoor,
AMFOORREGRIJN.STANDAMFOOR,"regionaal amfoor aardewerk, Rijnland:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/1fcb6cc2-edb8-4979-a71a-f7e04452f525,"regionaal amfoor aardewerk, Rijnland",https://data.cultureelerfgoed.nl/term/id/abr/f8ceacdd-66b4-41dd-ade3-36c76a832e53,AMFOOR.STAND,standamfoor,
AMFOORREGSCHE,"regionaal amfoor aardewerk, Scheldevallei:onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/3c27a182-cd54-42fa-b5fb-a5c690dd9393,"regionaal amfoor aardewerk, Scheldevallei",https://data.cultureelerfgoed.nl/term/id/abr/8a2281db-1a9e-4c0c-98f2-7372a9598fdc,,aardewerk:onbepaald (ROM),
AMFOORREGSCHE.AMFOOR,"regionaal amfoor aardewerk, Scheldevallei:amfoor",https://data.cultureelerfgoed.nl/term/id/abr/edc2c733-67d2-49cb-a935-2f9ca28cf204,"regionaal amfoor aardewerk, Scheldevallei",https://data.cultureelerfgoed.nl/term/id/abr/8a2281db-1a9e-4c0c-98f2-7372a9598fdc,AMFOOR.VERZ,amfoor,
AMFOORREGSCHE.STANDAMFOOR,"regionaal amfoor aardewerk, Scheldevallei:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/07a59fa7-d9b2-49a4-9726-298ad8343430,"regionaal amfoor aardewerk, Scheldevallei",https://data.cultureelerfgoed.nl/term/id/abr/8a2281db-1a9e-4c0c-98f2-7372a9598fdc,AMFOOR.STAND,standamfoor,
AMFOORRW,"amfoor, ruwwandig en wijdmondig",https://data.cultureelerfgoed.nl/term/id/abr/1e4f06f4-fcde-43bb-b59f-65e31d2dca90,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.VERZ,amfoor,
AMFOORRW.GEL167,"amfoor, ruwwandig en wijdmondig - gellep 167:eivormig, 2-3 oren",https://data.cultureelerfgoed.nl/term/id/abr/e0fd0f84-ef75-4bda-8fdb-7d0e846d64dd,ruwwandig middeleeuws aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5cff1493-4a12-453d-9bb6-3997bdf5e14a,AMFOOR.VERZ,amfoor,"gellep 167:eivormig, 2-3 oren"
AMFOORRW.TRID21,"amfoor, ruwwandig en wijdmondig - Trier D21:afgeronde buik, 2 oren",https://data.cultureelerfgoed.nl/term/id/abr/4211cbb2-0551-4346-85ed-afbc88cf4f8b,ruwwandig middeleeuws aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5cff1493-4a12-453d-9bb6-3997bdf5e14a,AMFOOR.VERZ,amfoor,"Trier D21:afgeronde buik, 2 oren"
AMFOORZSPAN,"amfoor aardewerk, Zuid-Spanje (kust):onbepaald",https://data.cultureelerfgoed.nl/term/id/abr/d86fe3a9-aa70-4699-aaa8-fc9d83866444,"amfoor aardewerk, Zuid-Spanje (kust)",https://data.cultureelerfgoed.nl/term/id/abr/f79dc748-3ae4-4aa5-83b9-35526cfc3e49,,aardewerk:onbepaald (ROM),
AMFOORZSPAN.AMFOOR,"amfoor aardewerk, Zuid-Spanje (kust):amfoor",https://data.cultureelerfgoed.nl/term/id/abr/11e9c103-54d0-44bd-9cb5-61e9ea970ad8,"amfoor aardewerk, Zuid-Spanje (kust)",https://data.cultureelerfgoed.nl/term/id/abr/f79dc748-3ae4-4aa5-83b9-35526cfc3e49,AMFOOR.VERZ,amfoor,
AMFOORZSPAN.PUNTAMFOOR,"amfoor aardewerk, Zuid-Spanje (kust):puntamfoor",https://data.cultureelerfgoed.nl/term/id/abr/db3a7138-5a42-4369-9097-4f544462ddbe,"amfoor aardewerk, Zuid-Spanje (kust)",https://data.cultureelerfgoed.nl/term/id/abr/f79dc748-3ae4-4aa5-83b9-35526cfc3e49,PUNTAMF,puntamfoor,
ANDBEKER,Andenne:beker,https://data.cultureelerfgoed.nl/term/id/abr/4238d256-949c-4d72-ae91-c953e0cf1cff,witbakkend Maaslands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/eeecb436-c8c7-445c-a89b-4e66ee74fe8e,BEKER,beker,
ANDKAN,Andenne:kan,https://data.cultureelerfgoed.nl/term/id/abr/a836f05e-f587-42ec-b16d-289d78d67b53,witbakkend Maaslands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/eeecb436-c8c7-445c-a89b-4e66ee74fe8e,KAN,kan,
ANDKOM,Andenne:kom,https://data.cultureelerfgoed.nl/term/id/abr/479c408b-389a-4e8c-9b55-e3ad972681e9,witbakkend Maaslands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/eeecb436-c8c7-445c-a89b-4e66ee74fe8e,KOM.KOM,kom,
ANDPOT,"Andenne:pot, bolvormig",https://data.cultureelerfgoed.nl/term/id/abr/29c66ad6-242c-4add-87aa-3124abd6b59c,witbakkend Maaslands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/eeecb436-c8c7-445c-a89b-4e66ee74fe8e,POT,pot,
ANDTUIT,Andenne:tuitpot,https://data.cultureelerfgoed.nl/term/id/abr/60c3498d-7527-4684-97e2-8aeb9ec2e173,witbakkend Maaslands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/eeecb436-c8c7-445c-a89b-4e66ee74fe8e,TUITPOT,tuitpot,
AOO,AOO-aardewerk:onbepaald,https://data.cultureelerfgoed.nl/term/id/abr/7c2fad8e-9a4b-491c-bd41-9cd5a12b4055,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,,aardewerk:onbepaald (PREH),
AOO.AMFOOR,AOO-aardewerk:amfoor,https://data.cultureelerfgoed.nl/term/id/abr/58fb7959-3055-4c55-96be-8035ec39f480,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,AMFOOR.VERZ,amfoor,
AOO.DEKSEL,AOO-aardewerk:deksel,https://data.cultureelerfgoed.nl/term/id/abr/f4a256f2-1b26-4698-a787-7e7528b7bdf8,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,DEKSEL,deksel,
AOO.FLES,AOO-aardewerk:fles,https://data.cultureelerfgoed.nl/term/id/abr/24a9f52e-559c-433c-9941-906abca166dc,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,FLES,fles,
AOO.KOM,AOO-aardewerk:kom,https://data.cultureelerfgoed.nl/term/id/abr/566176d9-3455-4d4f-9dd1-3706f2ca782a,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,KOM.KOM,kom,
